,Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,State
412,2022-04-23,3,36125,1700,Ground out of 2,Super Area,Salt Lake City,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,2
243,2022-04-23,2,7000,450,1 out of 3,Carpet Area,safuipara,Kolkata,Furnished,Bachelors,2,Contact Owner,1
53,2022-04-23,2,15000,1000,Ground out of 2,Super Area,Bansdroni,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1
359,2022-04-23,1,15000,1000,2 out of 3,Super Area,Barrackpore,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1
417,2022-04-23,1,6500,800,Ground out of 1,Carpet Area,Santragachi,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1
398,2022-04-23,2,8000,650,1 out of 2,Super Area,"Garia Station, Garia",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1
302,2022-04-23,2,20000,700,1 out of 2,Super Area,Salt Lake City Sector 1,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,2
244,2022-04-24,3,15000,1350,1 out of 2,Carpet Area,"Annapurna Apartment, Rajarhat Chowmatha",Kolkata,Unfurnished,Family,2,Contact Owner,1
186,2022-04-24,2,8000,750,2 out of 4,Carpet Area,rishi aurobindo sarani neat NIOH hospital,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,1
297,2022-04-24,1,5000,350,Ground out of 3,Carpet Area,Purba Barisha,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,1
212,2022-04-24,3,12000,1000,Ground out of 1,Super Area,Khardah,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1
241,2022-04-24,2,9000,650,2 out of 3,Carpet Area,tollygunge Kabardanga,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1
408,2022-04-24,2,11000,1000,Ground out of 1,Super Area,"Anandapuri, Barrackpore",Kolkata,Furnished,Bachelors/Family,2,Contact Owner,1
139,2022-04-25,2,12500,750,1 out of 3,Carpet Area,"Sukhpally, Haltu",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1
108,2022-04-25,1,6000,220,Ground out of 2,Super Area,"Bidhan Pally, Bansdroni",Kolkata,Furnished,Bachelors/Family,1,Contact Owner,1
353,2022-04-25,1,6500,450,3 out of 4,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Family,1,Contact Owner,1
124,2022-04-25,2,18000,1300,1 out of 1,Super Area,Santoshpur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,2
182,2022-04-25,2,11000,550,2 out of 3,Carpet Area,Ultadanga,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1
356,2022-04-25,2,13000,1000,1 out of 2,Carpet Area,"N.S.C Bose Road (Near Ushagate), New Alipore",Kolkata,Furnished,Bachelors/Family,3,Contact Owner,1
445,2022-04-26,3,10000,1000,2 out of 5,Carpet Area,Bansdroni,Kolkata,Unfurnished,Bachelors,2,Contact Owner,1
450,2022-04-26,3,30000,1100,Ground out of 3,Carpet Area,FC Block,Kolkata,Unfurnished,Bachelors,1,Contact Owner,2
369,2022-04-27,2,9000,600,Ground out of 2,Super Area,Baghajatin,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1
937,2022-04-27,2,27000,900,Ground out of 4,Super Area,Mahatama Gandhi Road,Mumbai,Furnished,Bachelors/Family,3,Contact Owner,2
896,2022-04-27,2,18000,882,10 out of 22,Super Area,"DB Ozone, Mira Road",Mumbai,Unfurnished,Bachelors,2,Contact Owner,2
1825,2022-04-27,1,12000,500,2 out of 5,Carpet Area,"Electronics City Phase 1, Electronic City",Bangalore,Furnished,Bachelors,1,Contact Owner,1
1925,2022-04-27,2,15000,850,3 out of 3,Carpet Area,Rohini Sector 23,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,1
1787,2022-04-27,1,4750,200,2 out of 2,Carpet Area,"Chamundeshwari Layout, Arakere",Bangalore,Furnished,Bachelors/Family,1,Contact Owner,1
944,2022-04-27,1,15000,270,15 out of 15,Carpet Area,chakala andheri east,Mumbai,Unfurnished,Bachelors,2,Contact Owner,1
272,2022-04-27,1,6000,130,Ground out of 2,Carpet Area,Bow Bazar,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,1
475,2022-04-27,2,6000,800,1 out of 2,Super Area,"Chandannagar, Hooghly-Chinsurah",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1
1932,2022-04-27,2,7500,450,1 out of 5,Carpet Area,Laxmi Nagar,Delhi,Furnished,Bachelors/Family,1,Contact Owner,1
1782,2022-04-27,3,30000,1875,3 out of 3,Super Area,"Jp Nagar Phase 1, J P Nagar",Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
1833,2022-04-27,1,12000,600,1 out of 2,Super Area,Wilson Garden,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1
2227,2022-04-27,1,20000,700,1 out of 5,Super Area,Rohini Sector 5,Delhi,Furnished,Bachelors/Family,1,Contact Owner,1
2356,2022-04-28,2,20000,900,3 out of 3,Carpet Area,Amarpali Apartment,Delhi,Furnished,Bachelors,2,Contact Owner,2
94,2022-04-28,2,20000,1000,1 out of 2,Super Area,Anandapur,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,1
939,2022-04-28,1,6000,500,8 out of 10,Super Area,Naigaon East,Mumbai,Furnished,Bachelors/Family,2,Contact Owner,1
1044,2022-04-28,1,34000,560,3 out of 7,Super Area,Serenity Complex,Mumbai,Furnished,Bachelors,2,Contact Owner,2
1018,2022-04-28,1,20000,265,6 out of 7,Super Area,Mazgaon,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,2
3213,2022-04-28,1,12000,700,Ground out of 2,Super Area,Indra Nagar,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,1
1091,2022-04-28,3,25000,1260,Ground out of 2,Super Area,Vijaya Bank Layout,Bangalore,Furnished,Bachelors/Family,3,Contact Owner,2
506,2022-04-28,1,3300,175,Ground out of 2,Super Area,New Town,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1
1257,2022-04-28,2,20000,1150,2 out of 4,Carpet Area,"Jp Nagar Phase 5, J P Nagar, Outer Ring Road",Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,2
